RecordID,SnapshotDate,ProductName,ProductClass,ManufacturingSite,BatchNumber,ExpiryDate,StorageCondition,WarehouseCountry,QuantityOnHand,ReorderLevel,StockoutFlag
INV000891,2018-07-10, Ceretosine  ,Antiseptics,POZNAN SITE,B1807-3349,2020-08-17, FROZEN  ,Poland,2192,180,No
INV000892,2017-06-30, Topifribrate  ,Analgesics, munich plant  ,B1706-7432,2019-06-11,Refrigerated,Germany,2208,,0
INV000893,2018-07-13,Adalatamine,Antiseptics,Poznan Site,B1807-7826,2020-10-04,ROOM TEMPERATURE,Poland,2892,319,No
INV000894,2020-11-25,Insozyme,Antiseptics, Poznan Site  ,B2011-9897,2022-06-23,ROOM TEMPERATURE,Poland,9813,263,No
INV000895,2019-07-28,Acubulin,Antipiretics,Poznan Site,B1907-1952,2021-08-27, Refrigerated  ,Poland,7821,113,No
INV000896,2019-07-13,Alimmethate Insudase,Analgesics,krakow facility,B1907-8134,2021-02-06, room temperature  ,Poland,1430,230,No
INV000897,2019-10-13, Neuropogen Empibax  ,Analgesics,Frankfurt Plant,B1910-2208,2021-03-13,refrigerated,Germany,6488,56,No
INV000898,2019-05-24,Dantocept Ferurenone,Antiseptics,warsaw plant,B1905-6983,2021-04-06, refrigerated  ,Poland,5215,196,Yes
INV000899,2019-07-26,Dantolac Pazocor,Analgesics,WARSAW PLANT,B1907-2002,2021-12-29,Frozen,Poland,1054,365,No
INV000900,2018-09-13, Betanem  ,Analgesics, poznan site  ,B1809-3362,2019-03-07, room temperature  ,Poland,4684,63,No
INV000901,2019-02-04,Choriogestrel,Antiseptics,Frankfurt Plant,B1902-4457,2019-04-16,CONTROLLED SUBSTANCE,Germany,6292,279,FALSE
INV000902,2017-11-12,Fentalac,Antipiretics,warsaw plant,B1711-9268,2018-03-27, controlled substance  ,Poland,1296,366,FALSE
INV000903,2020-09-28,Aclonuma,Antimalarial, Warsaw Plant  ,B2009-4499,2023-05-23,REFRIGERATED,Poland,7313,74,No
INV000904,2020-11-13,Raparidol,Mood Stabilizers,krakow facility,B2011-3345,2021-01-15,controlled substance,Poland,6818,81,FALSE
INV000905,2019-02-25,Symbiroban,Antibiotics,POZNAN SITE,B1902-3841,2021-10-30,ROOM TEMPERATURE,Poland,4467,168,FALSE
INV000906,2018-02-27, Adriacaine  ,Mood Stabilizers,munich plant,B1802-5164,2018-05-04, CONTROLLED SUBSTANCE  ,Germany,7870,133,No
INV000907,2020-02-03,Tetratanyl,Antimalarial,POZNAN SITE,B2002-1893,2022-05-11, room temperature  ,Poland,5333,261,FALSE
INV000908,2019-09-30,Asparathasone Unipan,Antibiotics,POZNAN SITE,B1909-5326,2022-07-29,ROOM TEMPERATURE,Poland,3787,118,No
INV000909,2020-08-23,Argalazine Abostryl,Antipiretics,Poznan Site,B2008-9244,2021-12-22, Frozen  ,Poland,4835,346,FALSE
INV000910,2020-10-25,Decidenu Galantrigine,Antipiretics, Munich Plant  ,B2010-7937,2022-02-03,controlled substance,Germany,4502,272,No
INV000911,2017-09-11,Aspinavir Silovance,Antibiotics,poznan site,B1709-9033,2020-01-23,frozen,Poland,3495,243,0
INV000912,2018-04-03,Lansostral Acgestin,Antiseptics,MUNICH PLANT,B1804-2958,2019-09-21, Frozen  ,Germany,6853,233,FALSE
INV000913,2018-08-04,Topipizole,Mood Stabilizers,Warsaw Plant,B1808-3455,2018-12-13,controlled substance,Poland,3317,172,0
INV000914,2017-01-15,Halcifergen Nevazone,Antimalarial,Warsaw Plant,B1701-2693,2019-10-03,frozen,Poland,1078,115,FALSE
INV000915,2020-07-29,Alpharolac,Antipiretics,Frankfurt Plant,B2007-0084,2020-10-21,controlled substance,Germany,5198,223,No
INV000916,2018-09-25,Interfeferon Aspipex,Antiseptics, Frankfurt Plant  ,B1809-3909,2019-12-05, frozen  ,Germany,8236,168,No
INV000917,2019-02-27,Aclonuma,Antimalarial,warsaw plant,B1902-8523,2020-01-09,controlled substance,Poland,1970,382,FALSE
INV000918,2019-02-26,Doxivorin,Antimalarial, Poznan Site  ,B1902-2653,2019-05-07,FROZEN,Poland,8386,310,No
INV000919,2018-12-17, Pulmogen Alitora  ,Antiseptics,Frankfurt Plant,B1812-7207,2019-07-18,CONTROLLED SUBSTANCE,Germany,9978,368,No
INV000920,2017-02-16, Adrecetam Barazoxane  ,Antimalarial, poznan site  ,B1702-4709,2017-09-28,room temperature,Poland,7612,137,No
INV000921,2020-03-20,Choriogestrel,Antiseptics,FRANKFURT PLANT,B2003-2008,2021-10-19,Refrigerated,Germany,8474,283,No
INV000922,2017-12-26, Travosoline Capolac  ,Antipiretics,poznan site,B1712-0704,2020-02-15, REFRIGERATED  ,Poland,8324,187,FALSE
INV000923,2017-01-28,Tacrodomide,Antipiretics, krakow facility  ,B1701-1729,2017-10-06, frozen  ,Poland,6380,351,0
INV000924,2017-11-06,Testant,Mood Stabilizers, WARSAW PLANT  ,B1711-9627,2019-10-21,room temperature,Poland,653,321,FALSE
INV000925,2017-02-08,Afinitasol,Antipiretics,Munich Plant,B1702-9671,2019-09-05,frozen,Germany,1822,357,FALSE
INV000926,2020-06-04,Diazemid Felcept,Analgesics,Warsaw Plant,B2006-5844,2022-07-22,Frozen,Poland,9949,79,No
INV000927,2017-02-06,Afinitasol,Antipiretics,munich plant,B1702-7407,2017-04-28,controlled substance,Germany,8614,53,No
INV000928,2017-02-14,Pazofenac,Mood Stabilizers,KRAKOW FACILITY,B1702-5642,2018-05-23, FROZEN  ,Poland,610,351,FALSE
INV000929,2018-05-15, Adrecetam Barazoxane  ,Antimalarial, Poznan Site  ,B1805-1742,2018-07-15,room temperature,Poland,6027,324,FALSE
INV000930,2019-07-12,Acantaine,Antibiotics,FRANKFURT PLANT,B1907-5383,2021-07-17,Refrigerated,Germany,4590,310,FALSE
INV000931,2018-03-13, Quixitriptan Alanesin  ,Antiseptics, poznan site  ,B1803-3713,2019-03-24,ROOM TEMPERATURE,Poland,7164,170,No
INV000932,2020-07-21, Saprodeine Zanprosyn  ,Antibiotics,Poznan Site,B2007-0640,2023-02-17, REFRIGERATED  ,Poland,4856,187,No
INV000933,2020-04-16,Immurenol Temarate,Antipiretics,Frankfurt Plant,B2004-1234,2022-04-26,refrigerated,Germany,3952,345,No
INV000934,2017-01-04,Dantocept Ferurenone,Antiseptics,Warsaw Plant,B1701-0064,2019-08-07,controlled substance,Poland,3410,150,FALSE
INV000935,2017-05-05,Argalazine Abostryl,Antipiretics, Poznan Site  ,B1705-8044,2019-06-25,Refrigerated,Poland,6027,343,No
INV000936,2017-10-14,Magnemunex,Antiseptics,MUNICH PLANT,B1710-8545,2019-04-23,room temperature,Germany,231,202,FALSE
INV000937,2019-01-19,Ceretosine,Antiseptics,POZNAN SITE,B1901-8594,2020-09-11,REFRIGERATED,Poland,6674,242,No
INV000938,2019-04-15,Amavirase,Antipiretics,munich plant,B1904-9314,2020-05-29,ROOM TEMPERATURE,Germany,6840,117,FALSE
INV000939,2020-08-04, Aggretisol  ,Antimalarial,Krakow Facility,B2008-2132,2020-10-10,CONTROLLED SUBSTANCE,Poland,6682,386,FALSE
INV000940,2019-06-23,Symbisine Prednimadin,Mood Stabilizers,Frankfurt Plant,B1906-7946,2020-06-06, controlled substance  ,Germany,1940,390,No
INV000941,2018-01-14, Dorzovorin Pentadarone  ,Antimalarial,poznan site,B1801-7672,2018-04-01,controlled substance,Poland,5171,358,FALSE
INV000942,2017-04-03,Testant,Mood Stabilizers,Warsaw Plant,B1704-4600,2019-09-09, ROOM TEMPERATURE  ,Poland,7224,121,FALSE
INV000943,2018-03-01,Veratorol Ciclovatol,Mood Stabilizers,poznan site,B1803-9717,2020-03-21, Refrigerated  ,Poland,3461,287,No
INV000944,2018-03-19,Kinovatol,Analgesics,MUNICH PLANT,B1803-7043,2018-11-10, Frozen  ,Germany,4317,317,No
INV000945,2018-11-29,Fosinofen,Antipiretics,munich plant,B1811-2688,2019-09-28, refrigerated  ,Germany,696,180,FALSE
INV000946,2018-09-21,Cogxone Levanide,Antimalarial,Poznan Site,B1809-0537,2020-07-31,room temperature,Poland,1764,378,No
INV000947,2020-05-08,Atrabicin Alkerotec,Antiseptics,krakow facility,B2005-5376,2023-01-29,refrigerated,Poland,9377,317,No
INV000948,2020-01-19,Eproline,Antibiotics,Frankfurt Plant,B2001-8143,2022-02-24,FROZEN,Germany,7801,84,No
INV000949,2019-12-15,Clinolan Pitoletra,Mood Stabilizers,Munich Plant,B1912-7962,2021-10-18,Refrigerated,Germany,4851,317,FALSE
INV000950,2018-04-28, Abranatal Lysoprosate  ,Antiseptics,Munich Plant,B1804-1346,2018-12-28, CONTROLLED SUBSTANCE  ,Germany,N/A,249,FALSE
INV000951,2019-09-07,Claripenem,Antibiotics,WARSAW PLANT,B1909-6629,2020-07-22,controlled substance,Poland,8556,102,FALSE
INV000952,2018-04-02,Halcifergen Nevazone,Antimalarial,warsaw plant,B1804-5988,2019-08-11,frozen,Poland,5367,207,No
INV000953,2017-12-09,Aciprex,Antipiretics,poznan site,B1712-1267,2020-11-08,room temperature,Poland,3356,208,FALSE
INV000954,2018-03-15,Decidenu Galantrigine,Antipiretics,Munich Plant,B1803-0929,2019-07-19,room temperature,Germany,4308,328,No
INV000955,2018-01-27,Clinolan Pitoletra,Mood Stabilizers,MUNICH PLANT,B1801-2041,2018-07-01,room temperature,Germany,3480,109,FALSE
INV000956,2018-10-27, Androporin  ,Antiseptics,Munich Plant,B1810-0719,2019-09-10,ROOM TEMPERATURE,Germany,3745,295,FALSE
INV000957,2017-10-07, Albudazole Erobloc  ,Antiseptics,Frankfurt Plant,B1710-1927,2017-12-12,Frozen,Germany,5618,228,FALSE
INV000958,2019-06-22,Nevanide Actozide,Antibiotics,Krakow Facility,B1906-2632,2021-09-17,Refrigerated,Poland,9891,213,No
INV000959,2017-01-29,Ibruferon,Antiseptics,FRANKFURT PLANT,B1701-6088,2019-09-26, Frozen  ,Germany,9769,255,FALSE
INV000960,2020-12-14,Kiovax Tercorolac,Analgesics, Munich Plant  ,B2012-0707,2021-10-05,REFRIGERATED,Germany,8921,245,FALSE
INV000961,2019-04-06,Effidomide Evofribrate,Antiseptics,warsaw plant,B1904-4271,2021-03-18, frozen  ,Poland,4808,130,0
INV000962,2018-08-09,Asparathasone Unipan,Antibiotics,Poznan Site,B1808-5358,2019-12-04,ROOM TEMPERATURE,Poland,9229,268,No
INV000963,2020-06-10,Dasagestin,Analgesics,POZNAN SITE,B2006-2673,2022-08-28,CONTROLLED SUBSTANCE,Poland,1173,231,No
INV000964,2017-01-26,Fosinofen,Antipiretics,Munich Plant,B1701-6705,2017-09-10,controlled substance,Germany,1592,389,No
INV000965,2020-02-09, Zarostral  ,Antipiretics, warsaw plant  ,B2002-4911,2020-10-20, CONTROLLED SUBSTANCE  ,Poland,7096,282,No
INV000966,2019-08-30,Belavarix Benzabicin,Antibiotics,Frankfurt Plant,B1908-6804,2020-10-14,frozen,Germany,4407,170,No
INV000967,2018-05-29,Sevotrana Tiafoxin,Analgesics, krakow facility  ,B1805-5014,2019-06-04,controlled substance,Poland,2119,255,No
INV000968,2017-03-04,Megenorphine,Antimalarial,Frankfurt Plant,B1703-4684,2018-10-02, Refrigerated  ,Germany,1674,229,0
INV000969,2019-12-11,Zarostral,Antipiretics,warsaw plant,B1912-5246,2022-06-23,refrigerated,Poland,1577,105,No
INV000970,2019-01-25,Relenstrel Exurabine,Antibiotics,warsaw plant,B1901-2490,2019-06-23,ROOM TEMPERATURE,Poland,5931,292,No
INV000971,2017-02-09, Xenaminphen  ,Antimalarial, WARSAW PLANT  ,B1702-6426,2019-08-30, Refrigerated  ,Poland,5717,247,No
INV000972,2018-12-30,Epzipitant,Analgesics, Poznan Site  ,B1812-8237,2020-04-25,Refrigerated,Poland,4024,117,No
INV000973,2020-12-29,Belavarix Benzabicin,Antibiotics,Frankfurt Plant,B2012-1587,2022-03-14,controlled substance,Germany,9474,183,FALSE
INV000974,2017-03-21,Magneprex,Antimalarial,krakow facility,B1703-6728,2020-02-28,CONTROLLED SUBSTANCE,Poland,N/A,187,No
INV000975,2020-08-29,Exotropin Empizine,Mood Stabilizers,POZNAN SITE,B2008-5769,2021-12-26,REFRIGERATED,Poland,4390,86,No
INV000976,2020-09-08,Zynosine,Antimalarial,Warsaw Plant,B2009-8637,2022-09-25,REFRIGERATED,Poland,8454,326,No
INV000977,2018-12-04,Dantolac Pazocor,Analgesics,WARSAW PLANT,B1812-5108,2020-12-10,Frozen,Poland,9782,202,No
INV000978,2020-07-21,Pentastrin,Antibiotics,Frankfurt Plant,B2007-4086,2022-06-25,room temperature,Germany,1555,187,No
INV000979,2019-03-18, Pulmogen Alitora  ,Antiseptics,Frankfurt Plant,B1903-3605,2021-08-27,FROZEN,Germany,9696,335,Yes
INV000980,2018-05-08,Sevoderm,Antipiretics, MUNICH PLANT  ,B1805-3027,2020-02-10,frozen,Germany,5964,87,No
INV000981,2017-05-24,Dantolac Pazocor,Analgesics, Warsaw Plant  ,B1705-6012,2019-06-18, room temperature  ,Poland,4868,83,No
INV000982,2018-05-05, Aciprex  ,Antipiretics,POZNAN SITE,B1805-2545,2019-09-15,Frozen,Poland,N/A,176,No
INV000983,2018-11-09, Cyclovital  ,Antimalarial,MUNICH PLANT,B1811-1494,2020-03-18,REFRIGERATED,Germany,9715,172,FALSE
INV000984,2018-01-30,Alisteride Pemidizem,Antiseptics,Poznan Site,B1801-1043,2019-04-09,CONTROLLED SUBSTANCE,Poland,1114,66,No
INV000985,2019-12-28, Interzide  ,Antimalarial, Munich Plant  ,B1912-0910,2021-11-29, controlled substance  ,Germany,8786,107,No
INV000986,2017-05-26,Malaxolol Aeroprosyn,Antiseptics,Frankfurt Plant,B1705-3127,2019-03-23,controlled substance,Germany,3290,160,No
INV000987,2019-02-22,Solasteride,Mood Stabilizers,Poznan Site,B1902-4997,2019-12-21, controlled substance  ,Poland,5316,112,FALSE
INV000988,2019-12-04,Albuterenone,Antimalarial,KRAKOW FACILITY,B1912-3269,2020-02-22, Refrigerated  ,Poland,5619,359,0
INV000989,2020-12-15, Solasteride  ,Mood Stabilizers,poznan site,B2012-0597,2021-03-23,refrigerated,Poland,9874,212,FALSE
INV000990,2018-07-09,Kinenadryl,Antipiretics,Poznan Site,B1807-6166,2019-09-22,room temperature,Poland,8974,63,No
INV000991,2020-06-03,Menogine,Antiseptics,Frankfurt Plant,B2006-9494,2022-03-18,controlled substance,Germany,561,93,No
INV000992,2020-07-04, Paronium Atracustone  ,Analgesics,Munich Plant,B2007-8134,2020-12-26,Refrigerated,Germany,7615,363,No
INV000993,2018-06-04, Dexmebital Acanplan  ,Analgesics,poznan site,B1806-4008,2020-10-08,room temperature,Poland,6499,,FALSE
INV000994,2017-01-09,Proprabax,Analgesics,Warsaw Plant,B1701-3710,2019-11-10,Frozen,Poland,7808,67,FALSE
INV000995,2019-09-30,Benzoprox,Antiseptics,KRAKOW FACILITY,B1909-4811,2021-09-11,ROOM TEMPERATURE,Poland,7086,224,FALSE
INV000996,2018-03-01,Lovavatol Azelavarix,Mood Stabilizers,FRANKFURT PLANT,B1803-2811,2020-03-01,Frozen,Germany,7021,246,No
INV000997,2017-01-08, Lovephilus  ,Analgesics, poznan site  ,B1701-7767,2019-10-20,controlled substance,Poland,4001,127,No
INV000998,2018-03-24,Ionclotide,Analgesics,Krakow Facility,B1803-0971,2018-05-30,ROOM TEMPERATURE,Poland,203,149,No
INV000999,2020-06-19,Benzoprox,Antiseptics, Krakow Facility  ,B2006-0700,2021-02-21,CONTROLLED SUBSTANCE,Poland,1250,270,FALSE
INV001000,2019-03-26,Tesnorphine Silotamine,Antibiotics,Munich Plant,B1903-5959,2021-08-03,FROZEN,Germany,226,278,No
INV001001,2019-05-07,Interfestar,Antibiotics, munich plant  ,B1905-5283,2021-08-09,FROZEN,Germany,6144,81,FALSE
INV001002,2018-11-21,Zithrotrol,Antiseptics,Krakow Facility,B1811-2533,2020-11-10,Frozen,Poland,4066,161,No
INV001003,2020-01-14, Amamadin  ,Antimalarial,MUNICH PLANT,B2001-1508,2020-04-26,FROZEN,Germany,8956,375,No
INV001004,2020-11-15,Androporin,Antiseptics,munich plant,B2011-7858,2022-01-24, Frozen  ,Germany,5467,192,No
INV001005,2017-11-04,Effigine Propraprex,Antimalarial, FRANKFURT PLANT  ,B1711-3495,2018-11-17, controlled substance  ,Germany,4914,155,FALSE
INV001006,2019-01-02, Diazemid Felcept  ,Analgesics,WARSAW PLANT,B1901-3688,2020-01-15,Frozen,Poland,5445,117,0
INV001007,2018-04-03,Rebedase Aplencor,Mood Stabilizers, Munich Plant  ,B1804-0590,2019-05-18,CONTROLLED SUBSTANCE,Germany,7087,374,No
INV001008,2020-01-28,Albuterenone,Antimalarial, Krakow Facility  ,B2001-1431,2021-11-04,room temperature,Poland,2692,242,FALSE
INV001009,2020-01-05,Formolovir Amanferon,Analgesics, MUNICH PLANT  ,B2001-1240,2021-02-10,controlled substance,Germany,N/A,190,No
INV001010,2020-01-11,Cephovelam,Mood Stabilizers,munich plant,B2001-9802,2020-12-09,refrigerated,Germany,707,102,No
INV001011,2019-10-31,Zarostral,Antipiretics,WARSAW PLANT,B1910-4164,2020-04-26, Frozen  ,Poland,672,170,No
INV001012,2018-10-31,Pulmogen Alitora,Antiseptics, Frankfurt Plant  ,B1810-3732,2020-02-25, Frozen  ,Germany,4677,397,No
INV001013,2017-04-28, Acycpex  ,Mood Stabilizers,Warsaw Plant,B1704-7323,2018-11-28,frozen,Poland,2022,147,FALSE
INV001014,2020-02-23,Veratorol Ciclovatol,Mood Stabilizers,poznan site,B2002-8158,2022-09-01,controlled substance,Poland,4355,54,FALSE
INV001015,2020-09-05,Zarostral,Antipiretics,Warsaw Plant,B2009-8366,2022-09-22,refrigerated,Poland,9797,250,No
INV001016,2018-05-15,Raparidol,Mood Stabilizers,krakow facility,B1805-6904,2019-03-22,Refrigerated,Poland,3035,345,No
INV001017,2019-12-20,Secrelazine Insonamic,Antipiretics,Munich Plant,B1912-0909,2022-12-11,Frozen,Germany,2907,208,No
INV001018,2020-08-10, Exotropin Empizine  ,Mood Stabilizers, Poznan Site  ,B2008-7217,2022-08-18,controlled substance,Poland,4036,211,0
INV001019,2017-02-11,Antilamin Clinbital,Antibiotics,frankfurt plant,B1702-1668,2019-05-14, Frozen  ,Germany,8404,340,No
INV001020,2019-09-11,Ceftatana Serolamide,Antipiretics,munich plant,B1909-9550,2021-12-05, controlled substance  ,Germany,6658,376,No
INV001021,2020-07-22,Requimadin,Antimalarial,Krakow Facility,B2007-3852,2022-11-16,CONTROLLED SUBSTANCE,Poland,2257,298,FALSE
INV001022,2019-04-23,Aclonuma,Antimalarial,WARSAW PLANT,B1904-1739,2020-03-21, refrigerated  ,Poland,7217,335,No
INV001023,2018-09-26,Biotasol Siloderm,Antiseptics,Frankfurt Plant,B1809-5277,2020-10-11, Frozen  ,Germany,6280,218,No
INV001024,2020-03-23, Atomorelin  ,Analgesics,WARSAW PLANT,B2003-0096,2022-06-06,controlled substance,Poland,7703,93,No
INV001025,2018-05-06, Sanctumine  ,Antimalarial,Warsaw Plant,B1805-3841,2020-12-01,Refrigerated,Poland,9084,131,No
INV001026,2020-11-23,Neuropogen Empibax,Analgesics,Frankfurt Plant,B2011-5080,2021-02-14,room temperature,Germany,9205,179,FALSE
INV001027,2019-10-23,Ribabyclor,Antiseptics,warsaw plant,B1910-8860,2021-08-26,Frozen,Poland,3242,101,No
INV001028,2019-08-16,Flutacerol,Analgesics,Frankfurt Plant,B1908-0049,2022-03-17,controlled substance,Germany,9983,255,FALSE
INV001029,2018-02-10, Acelimus  ,Analgesics,warsaw plant,B1802-5348,2020-09-03,controlled substance,Poland,7129,109,No
INV001030,2020-06-26,Secrelazine Insonamic,Antipiretics, munich plant  ,B2006-9549,2020-12-10,REFRIGERATED,Germany,3621,348,FALSE
INV001031,2018-03-21, Brimorix Amonine  ,Antibiotics, Munich Plant  ,B1803-0936,2020-10-08,room temperature,Germany,7453,324,No
INV001032,2017-01-31,Ibrulinum,Antipiretics,Poznan Site,B1701-2160,2017-06-18,Refrigerated,Poland,6850,302,FALSE
INV001033,2017-05-18, Halcifergen Nevazone  ,Antimalarial,warsaw plant,B1705-6149,2019-09-14,Frozen,Poland,4457,83,No
INV001034,2019-11-03,Apronazol,Antibiotics, KRAKOW FACILITY  ,B1911-6191,2021-09-29, ROOM TEMPERATURE  ,Poland,5208,374,No
INV001035,2018-05-14,Adalatamine,Antiseptics,POZNAN SITE,B1805-7931,2019-12-15,refrigerated,Poland,7906,85,FALSE
INV001036,2020-02-02, Darlofen  ,Antipiretics,poznan site,B2002-8326,2022-10-14, room temperature  ,Poland,6174,220,No
INV001037,2020-09-22,Nevanide Actozide,Antibiotics,Krakow Facility,B2009-1416,2022-04-18,REFRIGERATED,Poland,685,224,No
INV001038,2020-10-23,Lansostral Acgestin,Antiseptics,MUNICH PLANT,B2010-3614,2022-05-06, room temperature  ,Germany,4595,86,No
INV001039,2020-10-05, Ionclotide  ,Analgesics, KRAKOW FACILITY  ,B2010-1218,2022-09-18,controlled substance,Poland,3088,382,No
INV001040,2018-05-30,Asparathasone Unipan,Antibiotics, POZNAN SITE  ,B1805-1477,2019-09-26, room temperature  ,Poland,6192,121,No
INV001041,2018-09-02,Tesnorphine Silotamine,Antibiotics, MUNICH PLANT  ,B1809-3816,2020-10-29, controlled substance  ,Germany,4351,330,No
INV001042,2020-03-08,Symbisine Prednimadin,Mood Stabilizers,Frankfurt Plant,B2003-2337,2021-04-19,room temperature,Germany,7797,97,FALSE
INV001043,2020-04-14,Adriafinil Ehtymara,Antiseptics,Frankfurt Plant,B2004-3780,2023-03-23, room temperature  ,Germany,4531,110,No
INV001044,2019-12-10,Agalsiline,Mood Stabilizers,Warsaw Plant,B1912-4357,2022-03-15,Frozen,Poland,4461,318,FALSE
INV001045,2018-01-03, Hepavice  ,Mood Stabilizers, Warsaw Plant  ,B1801-2364,2018-03-06,room temperature,Poland,1538,233,No
INV001046,2017-01-24,Relenvice,Antimalarial, Munich Plant  ,B1701-3811,2019-07-26,frozen,Germany,5369,130,FALSE
INV001047,2020-06-07,Angioparin Brimosumab,Mood Stabilizers,munich plant,B2006-9551,2020-11-05,controlled substance,Germany,1390,182,FALSE
INV001048,2018-12-11, Quiniprosyn  ,Antiseptics,MUNICH PLANT,B1812-8546,2020-02-09, Frozen  ,Germany,7759,361,No
INV001049,2017-12-28,Interzide,Antimalarial,munich plant,B1712-2867,2019-04-13, Frozen  ,Germany,4214,311,No
INV001050,2020-11-26, Xenaderal  ,Mood Stabilizers,MUNICH PLANT,B2011-1146,2021-08-03,Refrigerated,Germany,9865,328,No
INV001051,2020-08-02,Spiroderall,Mood Stabilizers, MUNICH PLANT  ,B2008-3310,2021-10-23,Frozen,Germany,2841,211,No
INV001052,2018-10-03,Finanel,Antimalarial,Krakow Facility,B1810-5441,2019-08-02,room temperature,Poland,6358,168,No
INV001053,2020-11-11,Methiclotide,Antibiotics,MUNICH PLANT,B2011-6897,2022-07-23,room temperature,Germany,9023,363,No
INV001054,2019-11-08,Factofribrate,Mood Stabilizers,FRANKFURT PLANT,B1911-2099,2021-11-02, Frozen  ,Germany,9151,78,0
INV001055,2018-12-22,Quiniprosyn,Antiseptics,Munich Plant,B1812-9410,2020-10-08,controlled substance,Germany,863,140,0
INV001056,2017-01-05, Pazofenac  ,Mood Stabilizers,Krakow Facility,B1701-3714,2019-04-17, Frozen  ,Poland,4098,88,FALSE
INV001057,2019-09-22, Tacrodomide  ,Antipiretics, krakow facility  ,B1909-7538,2020-05-14,room temperature,Poland,4183,230,FALSE
INV001058,2017-05-09, Theopril  ,Antipiretics,KRAKOW FACILITY,B1705-2888,2018-09-30,controlled substance,Poland,7734,78,No
INV001059,2020-01-13,Afinitasol,Antipiretics,MUNICH PLANT,B2001-8995,2020-05-23,ROOM TEMPERATURE,Germany,5141,240,0
INV001060,2020-10-09,Zynosine,Antimalarial, warsaw plant  ,B2010-2592,2022-10-27,ROOM TEMPERATURE,Poland,788,129,No
INV001061,2020-11-04,Lactubucil,Antipiretics, poznan site  ,B2011-5184,2022-11-05,frozen,Poland,7604,212,FALSE
INV001062,2018-07-11,Ranediol,Antibiotics,WARSAW PLANT,B1807-1457,2020-08-11,CONTROLLED SUBSTANCE,Poland,1081,192,FALSE
INV001063,2018-01-15,Cyclovital,Antimalarial,Munich Plant,B1801-0616,2019-12-12,FROZEN,Germany,7940,325,FALSE
INV001064,2020-08-11,Tetratanyl,Antimalarial,Poznan Site,B2008-7456,2021-02-23,controlled substance,Poland,8894,317,No
INV001065,2020-12-05, Alpradipine  ,Analgesics,Munich Plant,B2012-3182,2023-02-03,FROZEN,Germany,2086,394,FALSE
INV001066,2020-07-31,Acubulin,Antipiretics, Poznan Site  ,B2007-4077,2022-11-15,refrigerated,Poland,3411,182,FALSE
INV001067,2020-09-15, Alglutriptan  ,Analgesics,POZNAN SITE,B2009-0373,2021-04-10, CONTROLLED SUBSTANCE  ,Poland,3342,234,No
INV001068,2018-11-25,Lioletine Refliruvax,Analgesics,Munich Plant,B1811-4865,2019-12-12, refrigerated  ,Germany,2204,55,FALSE
INV001069,2020-02-09,Lovapur,Mood Stabilizers, Krakow Facility  ,B2002-2763,2022-01-21, frozen  ,Poland,3196,268,No
INV001070,2018-03-15,Alarudin Azarolac,Mood Stabilizers,WARSAW PLANT,B1803-9473,2019-02-01, REFRIGERATED  ,Poland,5060,72,FALSE
INV001071,2019-01-31,Claricriptine Adaferol,Antibiotics,frankfurt plant,B1901-4832,2019-11-29,refrigerated,Germany,4187,364,FALSE
INV001072,2020-08-29, Malaxolol Aeroprosyn  ,Antiseptics,Frankfurt Plant,B2008-3544,2023-07-19,FROZEN,Germany,7128,209,No
INV001073,2018-06-15, Ultrimax Ultriset  ,Antiseptics,Krakow Facility,B1806-6669,2021-04-10,ROOM TEMPERATURE,Poland,6607,333,FALSE
INV001074,2018-07-19,Halciramine,Antimalarial, Frankfurt Plant  ,B1807-2278,2019-11-12,REFRIGERATED,Germany,2200,84,FALSE
INV001075,2018-09-13,Acycpex,Mood Stabilizers, Warsaw Plant  ,B1809-4639,2021-01-03, room temperature  ,Poland,4420,308,No
INV001076,2017-02-11,Flutacerol,Analgesics, FRANKFURT PLANT  ,B1702-6410,2017-12-20,controlled substance,Germany,6642,99,No
INV001077,2017-01-28,Abilovir Aprotasol,Antipiretics, POZNAN SITE  ,B1701-1617,2017-05-19,room temperature,Poland,7278,221,No
INV001078,2019-10-15, Temasone Thiobucil  ,Antimalarial,FRANKFURT PLANT,B1910-0645,2020-02-19,room temperature,Germany,5477,80,No
INV001079,2018-02-21, Travosoline Capolac  ,Antipiretics,Poznan Site,B1802-7000,2020-10-28,controlled substance,Poland,2563,95,No
INV001080,2020-02-17,Menogine,Antiseptics,Frankfurt Plant,B2002-7558,2020-09-12, controlled substance  ,Germany,8712,339,No
INV001081,2020-01-05, Megenorphine  ,Antimalarial, FRANKFURT PLANT  ,B2001-1680,2021-06-30,frozen,Germany,7402,156,No
INV001082,2018-12-04,Relenstrel Exurabine,Antibiotics,Warsaw Plant,B1812-5999,2020-01-06, room temperature  ,Poland,3562,177,FALSE
INV001083,2018-11-22, Penitrana  ,Analgesics, Frankfurt Plant  ,B1811-6420,2020-06-05,CONTROLLED SUBSTANCE,Germany,3793,179,FALSE
INV001084,2020-09-06,Fentalac,Antipiretics,WARSAW PLANT,B2009-6039,2021-06-13,ROOM TEMPERATURE,Poland,3254,337,No
INV001085,2017-02-15, Victomine  ,Antimalarial, Krakow Facility  ,B1702-1043,2017-10-13,CONTROLLED SUBSTANCE,Poland,2271,180,No
